13	5	5	3	9	3	9	5	3	9	5	5	1	5	5	3
9	5	3	10	10	10	10	15	8	0	7	15	14	13	7	10
10	15	10	10	10	10	8	5	6	10	15	9	5	3	9	2
10	13	4	4	6	8	4	7	13	4	3	10	15	8	2	10
12	5	5	1	5	6	13	1	5	5	4	4	5	6	10	10
15	9	5	4	5	5	5	2	13	3	13	5	7	13	2	10
9	4	1	7	13	7	13	4	7	14	13	7	13	1	6	10
8	1	4	1	5	3	11	9	3	13	1	1	5	4	3	10
10	8	7	10	11	10	10	8	6	11	10	8	3	15	8	2
10	10	15	10	10	10	10	12	3	14	10	10	12	5	2	10
10	12	3	10	14	10	10	15	10	13	2	10	11	9	6	10
8	3	10	8	5	2	14	11	10	11	10	10	14	10	9	2
10	10	10	10	11	10	15	12	2	14	8	2	13	2	10	10
8	6	8	6	14	10	9	3	12	1	2	10	15	10	10	10
8	5	4	1	5	6	10	8	3	10	10	12	5	4	4	2
14	13	7	12	5	5	6	14	12	6	12	5	5	5	5	6
